Registered Date,Property Type,Lender
11/28/2014,Single Family,CITIMORTAGAE  INC
12/4/2014,Single Family,Wells Fargo Bank N.A.
1/29/2014,Single Family,Wells Fargo Bank N.A.
8/26/2014,Single Family,Wells Fargo Bank N.A.
6/11/2014,Single Family,Fannie Mae
5/22/2014,Single Family,Fannie Mae
1/30/2014,Single Family,GREEN TREE SERVICING
8/22/2014,Multi-Family,Nationstar Mortgage LLC
8/27/2014,Multi-Family,Fannie Mae
4/17/2014,Single Family,BAC HOME LOANS SERVICING
3/25/2014,Single Family,US Bank  N.A.  as Trustee  c/o Select Portfolio Servicing
3/7/2014,Single Family,Ocwen Loan Servicing  LLC
11/11/2014,Single Family,NationStar
1/14/2014,Single Family,Green Tree
7/7/2014,Single Family,NATIONSTAR MORTGAGE LLC
5/23/2014,Single Family,Wells Fargo Bank N.A.
10/27/2014,Single Family,Deutsche Bank National Trust Company C/O Select Portfolio Servicing
12/23/2014,Single Family,Nationstar Mortgage
8/1/2014,Single Family,Ocwen Loan Servicing  LLC
5/8/2014,Single Family,JP Morgan Chase NA
7/7/2014,Single Family,NATIONSTAR MORTGAGE LLC
1/20/2014,Multi-Family,JP Morgan Chase NA
1/31/2014,Single Family,JP Morgan Chase NA
1/30/2014,Single Family,HSBC Bank USA  N.A.  as Trustee  c/o Select Portfolio Servicing
5/30/2014,Single Family,Bank of America
9/8/2014,Single Family,Select Portfolio Servicing Inc
1/30/2014,Single Family,Wells Fargo Bank N.A.
12/30/2014,Single Family,Wells Fargo Bank N.A.
3/31/2014,Single Family,NATIONSTAR MORTGAGE
12/2/2014,Single Family,Specialized Loan Servicing as Servicing Agent for Beneficiary
1/31/2014,Single Family,Selectr Portfolio Servicing  INC
5/8/2014,Single Family,JP Morgan Chase NA
4/29/2014,Single Family,Rushmore Loan Management Services
10/28/2014,Single Family,Financial Freedom
10/27/2014,Single Family,U.S. Bank NA  c/o Select Portfolio Servicing
8/20/2014,Single Family,Wells Fargo Bank N.A.
4/9/2014,Single Family,NATIONSTAR MORTGAGE LLC
1/10/2014,Single Family,JP Morgan Chase NA
11/26/2014,Single Family,JP Morgan Chase C/O Select Portfolio Servicing
10/3/2014,Single Family,Wells Fargo Bank N.A.
5/12/2014,Single Family,Specialized Loan Servicing as Servicing Agent for Beneficiary
12/18/2014,Single Family,Select Portfolio Servicing
1/15/2014,Single Family,JP Morgan Chase NA
8/20/2014,Single Family,Wells Fargo Bank N.A.
11/25/2014,Single Family,JP Morgan Chase C/O Select Portfolio Servicing
1/23/2014,Single Family,JP Morgan Chase NA
5/16/2014,Single Family,Wells Fargo Bank N.A.
1/17/2014,Single Family,NATIONSTAR MORTGAGE LLC
4/10/2014,Single Family,Ocwen Loan Servicing  LLC
10/27/2014,Single Family,HSBC Bank USA  National Association C/O Select Portfolio Servicing
1/2/2014,Single Family,NSP LA TRUST
1/31/2014,Single Family,BAC HOME LOANS SERVICING
2/19/2014,Single Family,Ocwen Loan Servicing  LLC
5/2/2014,Single Family,Ocwen Loan Servicing  LLC
9/16/2014,Single Family,PNC MORTGAGE PRESALE
4/28/2014,Multi-Family,CENTRAL MORTGAGE COMPANY
10/27/2014,Single Family,U.S. Bank NA  c/o Select Portfolio Servicing
12/20/2014,Multi-Family,Ocwen Loan Servicing  LLC
8/29/2014,Single Family,BAYVIEW LOAN SERVICING  LLC
12/5/2014,Single Family,Caliber Home Loans
5/14/2014,Multi-Family,JP Morgan Chase NA
4/16/2014,Single Family,Ocwen Loan Servicing  LLC
10/10/2014,Single Family,Nationstar Mortgage LLC
10/2/2014,Single Family,SETERUS INC
1/16/2014,Multi-Family,NATIONSTAR MORTGAGE LLC
3/13/2014,Single Family,Flagstar
3/6/2014,Multi-Family,Ocwen Loan Servicing  LLC
11/7/2014,Single Family,Resurgent Capital
8/4/2014,Single Family,Ocwen Loan Servicing  LLC
1/13/2014,Single Family,Green Tree
8/1/2014,Single Family,Ocwen Loan Servicing  LLC
5/29/2014,Single Family,PHH Mortgage
1/22/2014,Single Family,NATIONSTAR MORTGAGE LLC
7/7/2014,Single Family,NATIONSTAR MORTGAGE LLC
5/9/2014,Single Family,JP Morgan Chase NA
2/19/2014,Single Family,Ocwen Loan Servicing  LLC
6/27/2014,Single Family,Wells Fargo Bank N.A.
5/22/2014,Single Family,Bank of New York Mellon  as Trustee  c/o Select Portfolio Servicing
4/29/2014,Single Family,Caliber Home Loans
3/11/2014,Single Family,Ocwen Loan Servicing  LLC
6/9/2014,Single Family,Wells Fargo Bank N.A.
10/10/2014,Single Family,NATIONSTAR MORTGAGE LLC
12/23/2014,Single Family,Selene Finance
1/30/2014,Single Family,Wells Fargo Bank N.A.
5/9/2014,Multi-Family,JP Morgan Chase NA
6/17/2014,Single Family,Wells Fargo Bank N.A.
7/24/2014,Single Family,JP Morgan Chase NA
5/16/2014,Single Family,JP Morgan Chase NA
4/2/2014,Single Family,Deutsche Bank  as Trustee  c/o Select Portfolio Servicing
7/9/2014,Single Family,Wells Fargo Bank N.A.
10/20/2014,Single Family,BAC HOME LOANS SERVICING
1/2/2014,Multi-Family,Champion Mortgage Company
10/21/2014,Single Family,Wells Fargo Bank N.A.
6/5/2014,Multi-Family,Caliber Home Loans
1/20/2014,Single Family,Nationstar Mortgage LLC
2/9/2014,Single Family,BAC HOME LOANS SERVICING
6/9/2014,Single Family,Wells Fargo Bank N.A.
1/3/2014,Single Family,Federal National Mortgage
1/15/2014,Multi-Family,JP Morgan Chase NA
1/30/2014,Single Family,Deutsche Bank  as Trustee  c/o Select Portfolio Servicing
12/5/2014,Single Family,BAC HOME LOANS SERVICING
1/16/2014,Single Family,JP Morgan Chase NA
2/11/2014,Single Family,Ocwen Loan Servicing  LLC
